ID,Year,Latitude,Longitude,Radius,Conflict area,Conflict site,Conflict territory,Version
6,1990,35.87,46.87,150,62678,630,Iran,Apr-10
6,1993,35.6,45.92,100,17650,630,Iran,Apr-10
6,1996,36.16,45.48,50,4494,630,Iran,Apr-10
10,1989,12.8,122.98,850,291611,840,Philippines,Apr-10
10,1990,12.54,123.03,850,291779,840,Philippines,Apr-10
10,1991,12.32,123.38,800,291045,840,Philippines,Apr-10
10,1992,12.55,123.23,850,291533,840,Philippines,Apr-10
10,1993,12.34,122.59,800,291587,840,Philippines,Apr-10
10,1994,12.55,123.39,800,290901,840,Philippines,Apr-10
10,1995,12.54,122.97,800,291021,840,Philippines,Apr-10
10,1997,12.25,123.16,750,289378,840,Philippines,Apr-10
10,1999,11.78,123.19,800,291388,840,Philippines,Apr-10
10,2000,12.11,122.93,800,291458,840,Philippines,Apr-10
10,2001,12.19,123.46,750,288570,840,Philippines,Apr-10
10,2002,12.38,123.01,900,292410,840,Philippines,Apr-10
10,2003,12.02,122.82,850,292410,840,Philippines,Apr-10
10,2004,12.65,123.17,850,291496,840,Philippines,Apr-10
10,2005,12.31,123.07,900,292410,840,Philippines,Apr-10
10,2006,12.03,123.11,850,292383,840,Philippines,Apr-10
10,2007,12.37,123.07,900,292410,840,Philippines,Apr-10
10,2008,12.54,122.89,850,291779,840,Philippines,Apr-10
20,1989,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
20,1990,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
20,1991,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
20,1992,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
20,1996,34.15,75.38,200,124920,"750, 770","India, Pakistan",Apr-10
20,1997,34.12,75.92,200,124156,"750, 770","India, Pakistan",Apr-10
20,1998,34.12,75.92,200,124156,"750, 770","India, Pakistan",Apr-10
20,1999,34.12,75.92,200,124156,"750, 770","India, Pakistan",Apr-10
20,2000,34.12,75.92,200,124156,"750, 770","India, Pakistan",Apr-10
20,2001,34.12,75.92,200,124156,"750, 770","India, Pakistan",Apr-10
20,2002,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
20,2003,34.14,75.6,200,124855,"750, 770","India, Pakistan",Apr-10
22,1989,-25.27,-57.67,50,4796,150,Paraguay,Apr-10
23,1989,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,1990,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,1991,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,1992,15.78,97.76,550,236866,775,Myanmar,Apr-10
23,1995,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,1997,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,1998,16.87,97.36,400,192233,775,Myanmar,Apr-10
23,2000,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,2001,15.78,97.76,550,236866,775,Myanmar,Apr-10
23,2002,16.73,97.25,650,398845,775,Myanmar,Apr-10
23,2003,15.78,97.76,550,236866,775,Myanmar,Apr-10
23,2005,15.96,97.56,500,212889,775,Myanmar,Apr-10
23,2006,16.23,97.58,500,226649,775,Myanmar,Apr-10
23,2007,17.35,97.38,300,143428,775,Myanmar,Apr-10
23,2008,17.35,97.38,300,143428,775,Myanmar,Apr-10
24,1990,20.68,97.68,550,525478,775,Myanmar,Apr-10
24,1991,20.07,98.07,650,558629,775,Myanmar,Apr-10
24,1992,20.68,97.68,550,525478,775,Myanmar,Apr-10
24,1994,21.48,97.71,450,413160,775,Myanmar,Apr-10
