"warm","yr89","male","white","age","ed","prst","warmlt2","warmlt3","warmlt4"
1,0,0,1,33,10,31,1,1,1
1,0,1,1,74,16,50,1,1,1
1,1,1,1,36,12,41,1,1,1
1,0,0,1,73,9,36,1,1,1
1,0,0,1,59,11,62,1,1,1
1,1,1,1,33,4,17,1,1,1
1,0,0,1,43,7,40,1,1,1
1,0,0,1,48,12,48,1,1,1
1,0,1,1,27,17,69,1,1,1
1,0,1,1,46,12,50,1,1,1
1,1,1,1,75,8,41,1,1,1
1,0,1,1,34,12,47,1,1,1
1,0,0,1,64,11,40,1,1,1
1,0,1,1,46,12,31,1,1,1
1,0,0,1,59,12,55,1,1,1
1,1,0,0,42,6,12,1,1,1
1,0,1,1,53,12,61,1,1,1
1,0,0,1,44,8,25,1,1,1
1,0,1,1,53,7,45,1,1,1
1,0,1,1,62,12,35,1,1,1
1,0,1,1,32,15,70,1,1,1
1,0,0,1,48,8,19,1,1,1
1,0,0,1,36,12,48,1,1,1
1,0,0,1,25,12,46,1,1,1
1,0,1,1,70,8,41,1,1,1
1,0,0,1,38,12,50,1,1,1
1,0,1,1,82,5,39,1,1,1
1,0,0,1,28,12,36,1,1,1
1,0,1,1,25,12,27,1,1,1
1,0,1,0,45,12,40,1,1,1
1,0,1,1,49,5,16,1,1,1
1,0,0,0,56,9,20,1,1,1
1,1,1,1,61,4,34,1,1,1
1,0,1,1,54,16,50,1,1,1
1,0,0,1,77,13,60,1,1,1
1,0,1,1,57,17,78,1,1,1
1,0,1,1,57,8,19,1,1,1
1,1,1,1,19,11,17,1,1,1
1,0,1,1,51,9,28,1,1,1
1,1,1,1,68,14,37,1,1,1
1,0,1,1,47,8,32,1,1,1
1,0,0,1,64,8,27,1,1,1
1,0,1,1,25,12,34,1,1,1
1,0,0,1,73,8,39,1,1,1
1,0,0,1,59,11,34,1,1,1
1,0,0,1,58,10,47,1,1,1
1,1,0,1,65,11,50,1,1,1
1,0,0,1,22,12,29,1,1,1
1,0,1,1,55,8,28,1,1,1
1,0,0,1,38,12,25,1,1,1
1,0,1,1,75,8,41,1,1,1
1,0,1,1,63,8,30,1,1,1
1,1,1,1,56,15,43,1,1,1
1,1,1,0,70,4,32,1,1,1
1,0,1,1,65,9,48,1,1,1
1,0,1,1,49,10,29,1,1,1
1,0,0,1,25,12,23,1,1,1
1,0,1,0,41,11,26,1,1,1
1,0,0,1,53,12,36,1,1,1
1,0,0,1,54,12,48,1,1,1
1,0,0,1,58,15,62,1,1,1
1,0,0,1,20,12,15,1,1,1
