female	age	eduyrs	spend	conserv
1	77	14	1	0
0	72	10	1	0
1	35	15	2	0
1	75	12	1	1
0	27	14	2	0
1	30	14	1	0
1	47	12	1	0
0	42	13	0	0
1	84	8	2	0
0	43	14	1	0
1	32	13	1	1
1	35	16	1	0
1	31	14	1	1
0	33	13	0	1
1	64	15	1	0
0	41	12	2	0
1	59	17	0	1
0	41	14	2	0
0	56	12	0	0
1	31	16	2	0
1	44	13	1	0
0	27	16	2	0
1	38	16	1	0
1	41	14	2	0
1	24	9	1	0
0	47	9	1	0
1	24	16	0	0
0	42	13	1	1
1	56	3	0	0
1	69	14	0	0
0	34	14	2	0
0	40	16	2	1
0	43	14	0	0
0	68	20	1	0
1	41	12	0	0
1	72	5	2	0
0	43	16	1	0
0	29	16	0	0
1	54	12	2	0
1	23	12	0	1
1	24	12	0	0
0	71	8	0	0
1	71	12	0	1
0	32	14	2	0
0	41	14	2	0
0	78	12	0	0
1	40	12	1	0
0	51	14	1	1
0	49	16	0	1
1	33	14	1	1
1	27	14	2	0
1	37	16	0	1
1	23	13	1	0
1	33	12	1	0
1	33	12	1	0
1	35	16	0	0
0	79	11	1	1
1	21	12	2	0
1	23	13	0	0
0	67	16	0	1
1	68	10	0	0
1	45	14	2	0
1	21	12	2	0
1	36	10	1	0
1	49	16	0	1
1	41	12	2	0
0	34	15	1	1
0	42	14	2	0
0	48	16	0	0
1	22	15	1	1
0	37	12	0	0
1	23	12	1	0
0	35	7	1	1
1	53	10	2	0
0	30	16	1	1
1	53	18	0	0
0	22	13	1	0
1	27	14	1	0
1	43	12	0	0
0	39	11	0	1
0	50	14	1	1
0	79	20	1	0
1	45	11	2	0
1	80	12	1	1
1	26	14	1	1
1	35	12	2	0
0	37	12	2	0
0	49	15	2	0
1	36	12	2	0
0	32	16	1	1
0	31	14	1	0
1	71	12	1	0
0	20	13	0	0
1	64	12	1	0
0	40	14	1	0
1	65	12	1	1
1	61	16	0	1
1	34	12	1	1
1	30	13	1	0
0	59	12	1	0
1	22	12	1	0
0	22	14	0	1
1	52	11	0	1
1	30	17	0	0
0	57	18	0	1
1	69	11	1	1
0	42	14	1	1
0	35	12	2	0
0	33	16	1	0
0	35	16	1	0
0	49	13	0	0
1	52	11	1	0
1	75	16	0	0
1	36	13	2	0
1	27	17	1	0
1	43	13	0	1
0	32	13	1	1
1	48	17	1	0
1	51	18	0	0
0	35	16	1	0
0	49	12	1	0
1	70	12	1	0
0	27	15	0	0
0	58	16	0	1
1	64	16	0	1
1	48	14	0	1
1	40	12	1	0
1	42	16	2	0
0	62	8	1	0
1	33	16	2	0
1	69	16	0	1
1	44	13	0	1
0	24	16	1	0
1	72	12	2	0
1	39	10	2	0
0	50	12	1	0
1	42	15	0	1
1	41	13	2	1
1	31	16	1	0
1	62	9	2	0
1	27	12	2	0
1	31	11	1	1
1	44	12	1	1
1	53	10	0	0
1	44	10	1	0
1	49	13	0	0
0	26	16	0	1
0	50	16	2	1
0	35	12	1	0
0	38	8	1	0
0	77	11	1	0
0	47	12	2	0
1	38	20	1	0
0	27	12	2	0
1	22	12	1	1
0	21	12	2	1
0	25	12	1	0
0	39	12	0	1
0	54	18	1	1
1	30	14	2	0
1	54	12	0	0
1	24	12	2	1
0	43	17	1	0
1	37	16	1	0
1	20	12	2	0
0	19	12	0	0
0	28	18	0	1
0	22	16	0	0
0	27	12	0	0
0	42	11	2	0
1	76	12	2	0
1	37	17	1	1
1	48	13	2	0
0	52	16	0	0
0	54	14	0	1
1	49	13	2	0
0	38	20	1	1
0	42	16	0	1
1	21	12	2	0
0	43	15	1	0
1	67	12	1	0
1	37	13	2	0
1	50	12	1	0
0	31	15	1	1
1	37	12	2	0
0	31	18	1	0
1	47	14	1	0
1	44	12	1	0
1	31	14	2	0
1	51	13	1	1
0	60	14	2	0
1	89	10	2	0
0	75	16	1	0
0	41	10	2	0
0	52	14	1	1
1	34	17	1	0
0	27	14	0	1
1	77	14	0	0
0	34	9	1	1
0	54	14	0	0
1	22	12	1	0
1	26	16	1	0
0	58	20	0	1
1	64	10	2	1
1	24	11	2	0
1	40	16	1	0
1	75	5	1	0
0	19	12	2	1
1	41	12	1	1
1	24	16	1	0
1	75	12	1	0
1	81	12	0	0
1	48	16	2	0
0	37	11	1	1
1	21	9	1	0
0	49	17	0	1
1	49	14	2	0
1	43	18	1	0
1	42	20	1	0
1	51	12	1	0
0	46	19	2	0
0	42	8	2	0
1	29	7	0	0
0	34	9	1	0
0	37	15	1	0
0	59	20	2	0
1	36	13	1	0
1	60	12	1	1
0	23	12	1	0
0	53	12	0	1
0	55	19	0	0
1	44	16	0	1
0	48	9	2	0
0	55	12	1	0
0	33	13	0	0
1	78	8	0	0
0	19	10	2	0
0	59	16	1	0
0	26	12	2	0
0	48	12	2	0
1	34	14	1	1
1	46	14	1	0
1	30	16	1	0
1	22	13	2	0
1	20	13	0	1
1	55	10	2	0
0	73	14	0	1
1	33	12	2	0
1	40	18	1	0
0	61	12	2	0
0	31	17	0	1
0	54	14	1	1
1	34	20	1	0
1	62	12	1	0
1	45	12	0	1
0	52	15	1	0
1	20	14	1	0
0	46	16	1	0
1	37	14	1	0
1	65	12	1	0
0	70	9	0	1
1	46	20	0	0
1	70	16	1	0
1	41	13	0	0
1	55	18	2	0
0	43	16	1	1
1	54	14	1	1
1	41	12	2	0
0	29	13	1	0
0	53	15	0	0
0	63	16	0	1
0	54	16	1	1
1	20	12	2	0
0	37	17	1	1
0	40	12	2	0
1	38	16	0	0
1	72	8	1	0
1	42	9	1	1
0	48	17	0	0
0	83	10	0	0
0	24	17	1	0
0	23	13	0	1
1	30	14	1	0
1	44	20	0	0
1	73	10	2	0
1	73	12	0	0
0	29	12	2	1
0	50	16	1	0
1	39	15	1	0
1	25	17	0	0
1	38	11	2	0
1	44	18	1	0
1	33	12	1	0
0	61	16	1	0
0	63	16	1	0
1	33	14	1	0
1	23	15	0	0
1	49	12	0	0
0	46	17	1	0
1	45	12	1	1
1	25	12	1	1
1	39	12	1	1
1	77	12	2	1
0	30	13	0	1
0	40	12	2	1
1	55	20	1	0
1	59	12	1	0
0	66	12	2	0
0	60	15	2	0
0	23	12	2	1
1	26	16	1	0
1	49	16	0	0
1	56	12	1	1
0	63	20	1	0
0	56	12	2	0
1	41	18	0	0
1	44	12	2	0
0	42	17	0	0
1	60	12	1	1
1	33	16	0	0
0	55	10	1	0
1	47	12	0	0
0	46	10	0	1
0	36	16	1	0
0	39	12	1	0
0	30	12	0	1
0	28	12	0	0
1	40	16	0	0
1	81	10	2	0
1	55	16	0	0
0	27	17	2	0
0	42	12	0	0
1	43	12	1	1
1	48	14	1	0
1	24	12	2	0
1	51	16	0	0
0	67	13	2	0
1	48	12	2	0
0	61	6	1	0
0	21	12	0	0
1	74	14	1	0
0	59	16	1	0
1	39	19	1	0
0	27	12	1	1
1	70	12	0	0
0	24	12	0	0
1	35	16	0	0
0	75	11	0	0
1	60	12	0	1
1	46	12	1	1
0	32	13	1	0
0	52	16	2	0
1	32	15	1	0
1	62	20	1	0
0	29	11	1	0
1	28	17	1	0
0	24	11	2	0
1	44	11	2	0
1	28	14	0	1
0	40	16	1	0
0	62	8	2	0
0	67	12	0	1
1	43	15	0	1
0	38	10	0	0
0	44	14	1	0
0	55	12	2	0
1	27	12	0	0
1	62	12	0	0
1	72	10	1	0
1	40	12	1	0
0	89	8	0	0
0	54	12	0	1
1	69	14	0	0
0	66	12	0	0
0	26	14	1	0
1	51	8	2	0
1	38	12	2	1
1	59	12	1	0
1	20	14	1	0
1	74	12	2	0
1	22	11	0	0
0	47	12	2	0
0	41	18	1	0
1	25	12	0	0
1	28	12	1	0
1	59	12	0	1
0	47	18	0	0
0	60	16	0	1
1	24	16	1	1
1	31	12	1	1
1	48	11	0	0
1	34	12	1	0
1	24	12	1	1
0	47	12	0	1
0	65	11	2	1
0	38	15	2	0
0	53	12	0	0
1	49	12	1	1
0	39	16	0	0
0	27	9	2	0
0	28	14	1	0
0	37	12	0	0
0	67	12	1	1
1	73	14	1	1
1	82	12	0	1
1	24	15	0	0
1	32	14	2	0
0	38	18	1	0
0	75	11	1	1
1	44	11	1	0
0	21	12	1	0
0	38	12	1	0
0	37	12	1	0
1	33	12	1	0
0	33	17	0	0
1	38	13	2	0
0	56	13	1	0
1	52	12	0	0
1	38	13	0	1
0	65	20	0	1
0	72	11	2	0
1	60	18	1	0
1	74	4	0	0
0	39	13	0	1
0	20	10	2	0
1	30	14	1	0
1	30	13	1	0
0	46	16	1	0
1	25	12	2	1
1	20	12	2	1
1	82	8	0	0
0	35	16	2	0
0	38	13	2	0
1	28	12	2	1
1	75	12	0	1
0	24	12	2	0
0	29	16	0	1
1	52	13	2	0
0	53	11	1	0
1	48	12	2	0
0	72	14	1	1
1	87	9	0	1
1	37	11	2	0
1	34	12	1	1
1	41	18	1	0
0	41	14	1	0
0	36	14	0	0
1	72	12	1	0
1	66	18	1	0
1	23	13	0	0
1	25	12	1	0
0	37	14	1	1
1	37	12	0	1
0	26	20	0	0
1	59	12	1	0
1	49	16	1	1
1	32	11	1	0
1	33	12	0	1
1	59	14	1	1
0	18	11	1	0
0	26	12	0	1
0	43	12	1	1
1	56	18	0	0
1	26	10	0	0
0	42	12	1	0
1	89	9	2	0
1	39	12	1	0
0	21	12	1	0
1	72	13	2	1
1	47	15	0	1
1	37	18	0	1
0	37	20	0	1
0	25	15	1	1
1	20	11	1	0
1	37	12	1	0
1	43	12	1	0
0	28	14	1	0
1	28	16	1	1
1	39	10	0	0
0	39	11	2	0
1	33	13	1	0
1	32	12	1	0
0	33	16	1	1
0	29	8	0	0
1	77	11	2	1
0	33	16	0	1
0	43	14	0	0
0	27	12	1	0
1	75	12	0	0
1	42	12	0	1
0	31	13	2	0
0	29	16	0	0
0	49	11	1	0
1	24	12	0	0
0	47	18	2	1
1	27	12	1	1
1	32	16	1	0
0	37	12	2	0
1	20	12	2	0
0	41	12	1	1
1	40	16	1	0
1	32	10	2	1
1	31	12	2	0
0	42	12	2	0
1	29	16	0	0
0	64	10	0	1
1	54	12	1	0
